"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6089","positivePracticeFormTest()","","Tue Feb 18 05:54:03 GMT 2025","passed","Tue Feb 18 05:54:10 GMT 2025","","demoqa.tests.PracticeFormTest","demoqa.tests.PracticeFormTest","positivePracticeFormTest"
"Verify that a new user can be created via POST /users.","194","7. Create User [2] Janet, dancer","","Tue Feb 18 05:54:17 GMT 2025","passed","Tue Feb 18 05:54:17 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testCreateUser"
"Verify that login fails when required fields are missing via POST /login.","205","14. Login Unsuccessful [1] peter@klaven","","Tue Feb 18 05:54:16 GMT 2025","passed","Tue Feb 18 05:54:16 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testLoginUnsuccessfulUser"
"Verify that a non-existent resource returns a 404 status code.","240","6. Single Resource Not Found","","Tue Feb 18 05:54:14 GMT 2025","passed","Tue Feb 18 05:54:15 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testResourceNotFound"
"Verify that an existing user can be updated via PATCH /users/{id}.","195","9. Update User (PATCH) [1] 1, George, dancer","","Tue Feb 18 05:54:16 GMT 2025","passed","Tue Feb 18 05:54:16 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testPatchUser"
"Verify that a user can be deleted via DELETE /users/{id}.","175","10. Delete User","","Tue Feb 18 05:54:17 GMT 2025","passed","Tue Feb 18 05:54:17 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testDeleteUser"
"Verify that the GET /users/{id} endpoint returns the correct user details.","48","2. Single User [1] 1, George, Bluth","","Tue Feb 18 05:54:18 GMT 2025","passed","Tue Feb 18 05:54:18 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetUserById"
"Verify that the GET /unknown/{id} endpoint returns the correct resource details.","194","5. Single Resource [3] 3, true red","","Tue Feb 18 05:54:18 GMT 2025","passed","Tue Feb 18 05:54:18 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetResourceById"
"Verify that a user can log in successfully via POST /login.","206","13. Login Successful [1] eve.holt@reqres.in, cityslicka","","Tue Feb 18 05:54:15 GMT 2025","passed","Tue Feb 18 05:54:15 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testLoginUser"
"Verify that the GET /unknown endpoint returns a list of resources.","93","4. List Resources","","Tue Feb 18 05:54:17 GMT 2025","passed","Tue Feb 18 05:54:17 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetAllResources"
"Verify that the GET /unknown/{id} endpoint returns the correct resource details.","53","5. Single Resource [2] 2, fuchsia rose","","Tue Feb 18 05:54:18 GMT 2025","passed","Tue Feb 18 05:54:18 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetResourceById"
"","1825","positiveTextBoxTest()","","Tue Feb 18 05:54:10 GMT 2025","passed","Tue Feb 18 05:54:11 GMT 2025","","demoqa.tests.TextBoxTest","demoqa.tests.TextBoxTest","positiveTextBoxTest"
"Verify that an existing user can be updated via PUT /users/{id}.","213","8. Update User (PUT) [2] 2, Oleg, president","","Tue Feb 18 05:54:15 GMT 2025","passed","Tue Feb 18 05:54:15 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testUpdateUser"
"Verify that an existing user can be updated via PUT /users/{id}.","230","8. Update User (PUT) [1] 1, Ivan, dancer","","Tue Feb 18 05:54:15 GMT 2025","passed","Tue Feb 18 05:54:15 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testUpdateUser"
"Verify that the GET /users endpoint returns a list of users.","99","1. List Users","","Tue Feb 18 05:54:15 GMT 2025","passed","Tue Feb 18 05:54:15 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetAllUsers"
"Verify that the GET /users/{id} endpoint returns the correct user details.","57","2. Single User [2] 2, Janet, Weaver","","Tue Feb 18 05:54:18 GMT 2025","passed","Tue Feb 18 05:54:18 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetUserById"
"Verify that a non-existent user returns a 404 status code.","173","3. Single User Not Found","","Tue Feb 18 05:54:21 GMT 2025","passed","Tue Feb 18 05:54:21 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testUserNotFound"
"Verify that an existing user can be updated via PATCH /users/{id}.","200","9. Update User (PATCH) [3] 3, Emma, cook","","Tue Feb 18 05:54:16 GMT 2025","passed","Tue Feb 18 05:54:17 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testPatchUser"
"Verify that an existing user can be updated via PUT /users/{id}.","211","8. Update User (PUT) [3] 3, Eva, cook","","Tue Feb 18 05:54:15 GMT 2025","passed","Tue Feb 18 05:54:15 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testUpdateUser"
"Verify that an existing user can be updated via PATCH /users/{id}.","207","9. Update User (PATCH) [2] 2, Janet, president","","Tue Feb 18 05:54:16 GMT 2025","passed","Tue Feb 18 05:54:16 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testPatchUser"
"Verify that registration fails when required fields are missing via POST /register.","1990","12. Register Unsuccessful [1] qwerty","","Tue Feb 18 05:54:12 GMT 2025","passed","Tue Feb 18 05:54:14 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testRegisterUnsuccessfulUser"
"Verify that a new user can register successfully via POST /register.","215","11. Register Successful [1] eve.holt@reqres.in, pistol","","Tue Feb 18 05:54:15 GMT 2025","passed","Tue Feb 18 05:54:16 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testRegisterUser"
"Verify that a new user can be created via POST /users.","198","7. Create User [1] George, leader","","Tue Feb 18 05:54:17 GMT 2025","passed","Tue Feb 18 05:54:17 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testCreateUser"
"Verify that the GET /users endpoint with delay parameter returns a delayed response.","3183","15. Delayed Response","","Tue Feb 18 05:54:18 GMT 2025","passed","Tue Feb 18 05:54:21 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testDelayedResponse"
"Verify that a new user can be created via POST /users.","200","7. Create User [3] Emma, musician","","Tue Feb 18 05:54:17 GMT 2025","passed","Tue Feb 18 05:54:17 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testCreateUser"
"Verify that the GET /users/{id} endpoint returns the correct user details.","55","2. Single User [3] 3, Emma, Wong","","Tue Feb 18 05:54:18 GMT 2025","passed","Tue Feb 18 05:54:18 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetUserById"
"Verify that the GET /unknown/{id} endpoint returns the correct resource details.","191","5. Single Resource [1] 1, cerulean","","Tue Feb 18 05:54:17 GMT 2025","passed","Tue Feb 18 05:54:18 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetResourceById"
