"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that an existing user can be updated via PUT /users/{id}.","235","Update User (PUT) [2] 2, Oleg, president","","Wed Feb 19 14:06:25 GMT 2025","passed","Wed Feb 19 14:06:26 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testUpdateUser"
"Verify that a new user can be created via POST /users.","210","Create User [3] Emma, musician","","Wed Feb 19 14:06:28 GMT 2025","passed","Wed Feb 19 14:06:28 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testCreateUser"
"Verify that an existing user can be updated via PUT /users/{id}.","243","Update User (PUT) [1] 1, Ivan, dancer","","Wed Feb 19 14:06:25 GMT 2025","passed","Wed Feb 19 14:06:25 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testUpdateUser"
"","30161","positiveTextBoxTest()","","Wed Feb 19 14:05:51 GMT 2025","broken","Wed Feb 19 14:06:22 GMT 2025","","demoqa.tests.TextBoxTest","demoqa.tests.TextBoxTest","positiveTextBoxTest"
"Verify that the GET /users/{id} endpoint returns the correct user details.","69","Single User [2] 2, Janet, Weaver","","Wed Feb 19 14:06:29 GMT 2025","passed","Wed Feb 19 14:06:29 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetUserById"
"Verify that the GET /users endpoint with delay parameter returns a delayed response.","3206","Delayed Response","","Wed Feb 19 14:06:29 GMT 2025","passed","Wed Feb 19 14:06:32 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testDelayedResponse"
"","31729","positivePracticeFormTest()","","Wed Feb 19 14:05:20 GMT 2025","broken","Wed Feb 19 14:05:51 GMT 2025","","demoqa.tests.PracticeFormTest","demoqa.tests.PracticeFormTest","positivePracticeFormTest"
"Verify that an existing user can be updated via PATCH /users/{id}.","212","Update User (PATCH) [1] 1, George, dancer","","Wed Feb 19 14:06:26 GMT 2025","passed","Wed Feb 19 14:06:27 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testPatchUser"
"Verify that a non-existent resource returns a 404 status code.","250","Single Resource Not Found","","Wed Feb 19 14:06:25 GMT 2025","passed","Wed Feb 19 14:06:25 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testResourceNotFound"
"Verify that a new user can be created via POST /users.","201","Create User [2] Janet, dancer","","Wed Feb 19 14:06:27 GMT 2025","passed","Wed Feb 19 14:06:28 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testCreateUser"
"Verify that login fails when required fields are missing via POST /login.","209","Login Unsuccessful [1] peter@klaven","","Wed Feb 19 14:06:26 GMT 2025","passed","Wed Feb 19 14:06:26 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testLoginUnsuccessfulUser"
"Verify that the GET /users endpoint returns a list of users.","116","List Users","","Wed Feb 19 14:06:25 GMT 2025","passed","Wed Feb 19 14:06:25 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetAllUsers"
